"collection","pathway","size","NES_max500","padj_max500","NES_max1000","padj_max1000","NES_max2000","padj_max2000"
"GO","GOBP_REGULATION_OF_CELL_MATRIX_ADHESION",115,-1.08226908295018,0.47829704898625,-1.07618527414815,0.490657526487154,-1.07920539161918,0.478852082062873
"GO","GOBP_REGULATION_OF_CELL_MATURATION",18,-0.983507189550652,0.631505609434323,-0.980817662352312,0.623469672203849,-0.982274415735402,0.624494548213366
"GO","GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",36,-1.40894039600073,0.175490158204749,-1.40421279464365,0.176556509023227,-1.40647363270156,0.164264756921882
"GO","GOBP_REGULATION_OF_CELL_MORPHOGENESIS",226,-1.46266744882252,0.0241324586412748,-1.46246377787446,0.0235603875222246,-1.46046627379435,0.0172862627586853
"GO","GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION",1406,NA,NA,NA,NA,-1.56620579593756,2.13567103519074e-11
"GO","GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY",230,-1.11478015911976,0.396941126633453,-1.11349161257217,0.397937977353659,-1.11277413998954,0.391603690435097
"GO","GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION",647,NA,NA,-1.75512895585835,2.7008807525236e-10,-1.75587825724291,1.41312968445832e-10
"GO","GOBP_REGULATION_OF_CELL_SHAPE",124,-1.2654813434081,0.218899474786758,-1.25896794390985,0.225957596641402,-1.26135464066559,0.208849602197458
"GO","GOBP_REGULATION_OF_CELL_SIZE",171,-1.67516872806004,0.00162436540051554,-1.67348143802206,0.00086455628424124,-1.67248753640256,0.00112608697214779
"GO","GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION",197,-1.54950567103336,0.00601173411801357,-1.54719947224098,0.00538911541403275,-1.54726472808787,0.00919193446503282
"GO","GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION",70,-1.31608721237267,0.199541951776305,-1.30418405071806,0.222938190986558,-1.30980320373102,0.204558355162731
"GO","GOBP_REGULATION_OF_CENTRIOLE_REPLICATION",25,-1.39376630803966,0.206343905610987,-1.38671658326562,0.218321911551601,-1.3873109314919,0.202630753307518
"GO","GOBP_REGULATION_OF_CENTROSOME_CYCLE",63,-1.31491494889499,0.211433623847417,-1.30523740405129,0.22887512462165,-1.31046161684946,0.215253559778388
"GO","GOBP_REGULATION_OF_CHEMOTAXIS",166,-1.79853176638646,0.000117559542311448,-1.79915016322146,6.63142410673784e-05,-1.79889985781506,8.71540410586828e-05
"GO","GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS",27,-0.852723919631205,0.764185261434536,-0.848872985906612,0.763508970824083,-0.850211498756887,0.756657471068273
"GO","GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX",33,-1.15223549620604,0.433786816823,-1.15359353595967,0.434293848940874,-1.15548594866684,0.427196105753949
"GO","GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS",45,1.11538817654183,0.43488512097741,1.11951774291893,0.416074601162403,1.12263781589311,0.416275117404725
"GO","GOBP_REGULATION_OF_CHOLESTEROL_STORAGE",15,-1.03652212123875,0.588869809469502,-1.02960202398119,0.585368058939592,-1.02767752089531,0.58062705476706
"GO","GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION",49,-1.71285992638238,0.0150372056720337,-1.69541612999738,0.0262318787388173,-1.70294993651078,0.0123860076290548
"GO","GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION",30,-1.31575437396276,0.262998853942811,-1.31404360924146,0.27177719852523,-1.31706355013747,0.255490825506281
"GO","GOBP_REGULATION_OF_CHROMOSOME_CONDENSATION",15,-1.43472039115087,0.189228079342431,-1.42514181637592,0.201363696621207,-1.42247798145763,0.199546226467834
"GO","GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION",250,-1.68177775806319,0.000228992159965403,-1.67949487262035,0.000263718301942552,-1.68007234044651,9.15443006368089e-05
"GO","GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION",140,-1.86968227007244,9.29581810455407e-05,-1.86941436703886,2.36219921074069e-05,-1.86413375172026,9.43447606291112e-05
"GO","GOBP_REGULATION_OF_CILIUM_ASSEMBLY",105,-0.984663920996176,0.63176442630858,-0.978697129678391,0.631755161989627,-0.981237987183055,0.630293437652605
"GO","GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY",16,1.53835242571111,0.135587293447435,1.54443373432035,0.115375841525329,1.52626924830374,0.108286216845621
"GO","GOBP_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY",18,1.31363579909495,0.28939260181645,1.31652511263279,0.281898692846991,1.3077099633825,0.28340115104497
